RecipeName,TransRecipeName,Label
Lettuce,A leafy green vegetable often used in salads or cooked dishes,Lettuce
Mushrooms,Edible fungi that are often saut ed or used in various dishes,Mushrooms
Onion,A pungent and flavorful bulb vegetable often used in cooking,Onion
Peas,Sweet and starchy tuber often used in various dishes,Peas
Potato,Versatile and starchy tuber often used in various dishes,Potato
Pumpkin,Sweet and orange-fleshed tuber often used in various dishes,Pumpkin
Radishes,Small crisp and mildly spicy root vegetables often used in salads,Radishes
Red Cabbage,A colorful and crunchy vegetable often used in salads or as a side dish,Red Cabbage
Spinach,A leafy green vegetable with a slightly bitter taste often used in salads or cooked dishes,Spinach
Sweet Potato,A starchy and sweet root vegetable often used in various dishes,Sweet Potato
Tomato,A juicy and flavorful fruit commonly used in salads sauces and various dishes,Tomato
Apple,A sweet and crisp fruit often eaten fresh or used in various desserts and dishes,Apple
Avocado,A creamy and nutritious fruit commonly used in salads dips and spreads,Avocado
Banana,A tropical fruit with a sweet and soft flesh often eaten as a snack or used in desserts,Banana
Blackberries,Small dark berries with a sweet and tart flavor often used in desserts and smoothies,Blackberries
Blueberries,Small blue-purple berries with a sweet and juicy flavor commonly used in desserts and breakfast dishes,Blueberries
Cherries,Sweet and juicy red or dark berries often used in desserts jams and beverages,Cherries
Custard Apple,A tropical fruit with creamy and custard-like flesh often eaten fresh,Custard Apple
Dates,Sweet and chewy fruits with a rich flavor commonly used in desserts and snacks,Dates
Grapes,Small sweet or tart berries often eaten fresh or used in desserts and beverages,Grapes
Guava,A tropical fruit with a sweet and fragrant flavor often eaten fresh or used in juices,Guava
Jackfruit,A large and tropical fruit with a sweet and distinctive flavor often used in savory and sweet dishes,Jackfruit
Jujube,Small and sweet fruits often eaten fresh or used in desserts and teas,Jujube
Kiwi,A small and tart fruit with green flesh often eaten fresh or used in salads and desserts,Kiwi
Lemon,A citrus fruit with a sour and tangy flavor commonly used in cooking baking and beverages,Lemon
Mango,A tropical and sweet fruit often eaten fresh or used in smoothies desserts and sauces,Mango
Orange,A citrus fruit with a sweet and tangy flavor commonly eaten fresh or used in juices and desserts,Orange
Papaya,A tropical fruit with orange flesh often eaten fresh or used in smoothies and salads,Papaya
Peach,A juicy and sweet stone fruit often eaten fresh or used in desserts and jams,Peach
Pear,A sweet and crisp fruit often eaten fresh or used in desserts and salads,Pear
Onion,A pungent and flavorful bulb vegetable often used in cooking and as a base for various dishes,Onion
Dal,Split pulses or lentils commonly used in Indian cuisine often cooked with spices,Dal
Aloo Gobi,A popular Indian dish made with potatoes aloo and cauliflower gobi cooked with spices,Aloo Gobi
Chicken Biryani,A flavorful Indian rice dish made with chicken basmati rice and aromatic spices,Chicken Biryani
Mutton Biryani,A savory Indian rice dish made with mutton basmati rice and aromatic spices,Mutton Biryani
Egg Biryani,A delicious Indian rice dish made with eggs basmati rice and aromatic spices,Egg Biryani
Prawns Biryani,A flavorful Indian rice dish made with prawns basmati rice and aromatic spices,Prawns Biryani
Vegetable Biryani,A delicious and aromatic Indian rice dish made with mixed vegetables basmati rice and spices,Vegetable Biryani
Boiled Egg,Eggs boiled until firm often used as a standalone snack or ingredient in various dishes,Boiled Egg
Palak Paneer,A North Indian dish made with spinach paneer cottage cheese and aromatic spices,Palak Paneer
Mint Chutney,A flavorful chutney made with mint coriander green chilies and spices,Mint Chutney
Coconut Chutney,A coconut-based chutney with green chilies and spices often served with South Indian dishes,Coconut Chutney
Egg Noodles,Stir-fried noodles with eggs vegetables and aromatic spices,Egg Noodles
Veg Noodles,Stir-fried noodles with mixed vegetables soy sauce and aromatic spices,Veg Noodles
Manchurian,A popular Indo-Chinese dish made with mixed vegetables soy sauce ginger garlic and spices,Manchuriyan
Fried Rice,Stir-fried rice with mixed vegetables soy sauce and aromatic spices,Fried Rice
Chicken Fried Rice,Stir-fried rice with chicken mixed vegetables soy sauce and aromatic spices,Chicken Fried Rice
Chicken Noodles,Stir-fried noodles with chicken vegetables soy sauce and aromatic spices,Chicken Noodles
Egg Fried Rice,Stir-fried rice with eggs mixed vegetables soy sauce and aromatic spices,Egg Fried Rice
Pani Puri,A popular Indian dish consisting of deep-fried bread puri served with potato curry,Pani Puri
Chaat,A popular Indian street mixed with dal and crushed deep fried bread and onion ,Chaat
Flour Sugar Eggs Butter Baking Powder,A sweet baked dessert made with flour sugar eggs butter and baking powder,Cake
Urad Dal Rice Fenugreek Seeds Cumin Seeds Curry Leaves,Deep-fried and crispy snack made from a batter of urad dal rice fenugreek seeds cumin seeds and curry leaves,Punugulu
Rice and Urad Dal Batter,A traditional South Indian dish made by spreading a fermented batter of rice and urad dal on a hot griddle,Dosa
Dosa Batter Eggs Spices,Dosa filled with a mixture of eggs and spices,Egg Dosa
Fermented Rice and Urad Dal Batter,Steamed rice cakes made from fermented rice and urad dal batter,Idly
Green Chilies Besan Chickpea Flour Oil,Green chilies dipped in chickpea flour batter and deep-fried until crispy,Mirchi Bajji
Urad Dal Rice Fenugreek Seeds Cumin Seeds,Deep-fried fritters made from a batter of urad dal rice fenugreek seeds and cumin seeds,Vada Recipe
Potatoes Besan Chickpea Flour Spices,Deep-fried potato fritters made from a batter of chickpea flour and spices,Aloo Bajji
Cream Milk,A dairy product made by churning fresh or fermented cream or milk,Butter
Wheat Flour Water,Unleavened deep-fried bread made from wheat flour and water,Puri
